Sample	c_carpio counts	c_carpio percentage	total_reads	T_bruceik counts	T_bruceik percentage	T_brucei427 counts	T_brucei427 percentage	LmajorFriedlin counts	LmajorFriedlin percentage	LinfantumJPCM5 counts	LinfantumJPCM5 percentage	L_donovaniLV9 counts	L_donovaniLV9 percentage	L_donovaniCLSL counts	L_donovaniCLSL percentage	S_pombe counts	S_pombe percentage	P_falciparum counts	P_falciparum percentage	P_know counts	P_know percentage	T_brucei counts	T_brucei percentage	T_cruzi counts	T_cruzi percentage	L_donovani counts	L_donovani percentage	O_sativa counts	O_sativa percentage	P_vera counts	P_vera percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	Arabidopsis counts	Arabidopsis percentage	Ecoli counts	Ecoli percentage	rRNA counts	rRNA percentage	MT counts	MT percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	Vectors counts	Vectors percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
BSF_01	248	0.08	294596	44	0.02	239985	81.46000000000001	9	0.0	9	0.0	5	0.0	16	0.0	3	0.0	52	0.02	21	0.0	239985	81.46000000000001	18	0.0	11	0.0	32	0.01	163	0.05	213	0.07	229	0.08	104	0.03	13	0.0	1	0.0	12	0.0	11	0.0	0	0.0	0	0.0	0	0.0	0	0.0	249	0.08	0	0.0	54411	18.47
BSF_03	256	0.06	432398	57	0.01	366858	84.85	21	0.0	35	0.0	26	0.01	44	0.01	3	0.0	124	0.03	21	0.0	366858	84.85	15	0.0	39	0.01	41	0.01	132	0.03	262	0.06	257	0.06	44	0.01	52	0.01	0	0.0	19	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	14	0.0	0	0.0	65421	15.13
BSF_04	244	0.06	422576	30	0.0	360279	85.25	30	0.0	66	0.02	45	0.01	49	0.01	2	0.0	155	0.04	40	0.01	360279	85.25	25	0.01	45	0.01	49	0.01	150	0.03	385	0.09	275	0.06	50	0.01	62	0.02	3	0.0	31	0.01	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	20	0.0	0	0.0	62160	14.71
BSF_05	385	0.07	571539	44	0.0	491373	85.98	53	0.01	118	0.02	79	0.01	86	0.01	2	0.0	209	0.04	56	0.01	491373	85.98	40	0.01	77	0.01	86	0.01	225	0.04	553	0.09	436	0.08	67	0.01	112	0.02	2	0.0	47	0.01	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	36	0.01	0	0.0	80015	14.0
BSF_06	1695	0.54	310740	58990	18.990000000000002	259461	83.5	547	0.18	315	0.11	529	0.16999999999999998	515	0.16999999999999998	151	0.05	1083	0.35	563	0.18	259461	83.5	744	0.24	162	0.05	834	0.27	1149	0.37	1615	0.52	1638	0.53	827	0.26	389	0.12000000000000001	250	0.08	435	0.13999999999999999	0	0.0	14	0.0	91	0.03	0	0.0	0	0.0	9	0.0	0	0.0	50308	16.19
BSF_07	219	0.1	226730	29	0.01	177713	78.38	8	0.0	4	0.0	3	0.0	34	0.01	1	0.0	43	0.02	19	0.01	177713	78.38	11	0.0	6	0.0	47	0.02	171	0.07	184	0.08	190	0.08	123	0.05	12	0.0	0	0.0	9	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	4	0.0	0	0.0	48928	21.58
BSF_08	296	0.09000000000000001	310575	42	0.01	250342	80.61000000000001	9	0.0	4	0.0	3	0.0	28	0.01	3	0.0	51	0.02	13	0.0	250342	80.61000000000001	6	0.0	5	0.0	38	0.01	231	0.08	246	0.06999999999999999	266	0.08	146	0.05	18	0.01	1	0.0	9	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	20	0.01	0	0.0	60127	19.36
PCF_01	297	0.06	515979	63	0.01	387653	75.13	16	0.0	6	0.0	9	0.0	19	0.0	3	0.0	49	0.0	22	0.0	387653	75.13	19	0.0	13	0.0	28	0.0	220	0.04	266	0.05	299	0.05	139	0.02	33	0.01	1	0.0	15	0.0	37	0.01	0	0.0	0	0.0	0	0.0	0	0.0	395	0.08	0	0.0	127962	24.8
PCF_02	881	0.33	268196	42901	16.0	206637	77.05	180	0.07	114	0.04	183	0.07	137	0.05	103	0.04	489	0.18	255	0.1	206637	77.05	270	0.1	133	0.05	349	0.13	576	0.21000000000000002	924	0.34	934	0.34	422	0.15	188	0.07	147	0.05	159	0.060000000000000005	1	0.0	0	0.0	37	0.01	0	0.0	0	0.0	8	0.0	0	0.0	60746	22.65
PCF_03	875	0.27	313658	48762	15.54	232411	74.1	168	0.05	124	0.04	171	0.05	148	0.05	75	0.03	395	0.13	205	0.07	232411	74.1	224	0.08	140	0.04	301	0.09000000000000001	483	0.15	895	0.28	840	0.26	352	0.12	175	0.06	118	0.04	152	0.05	0	0.0	0	0.0	18	0.0	0	0.0	0	0.0	7	0.0	0	0.0	80296	25.6
