Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
BSF_01	32792867	25092802	4296614	0	1103365	0	0	0	0	0	2300086	0	0	76.51908569018988
BSF_03	28959524	18651132	6961471	0	976532	0	0	0	0	0	2370389	0	0	64.40413868680992
BSF_04	24317096	13968823	7374836	0	977536	0	0	0	0	0	1995901	0	0	57.444453893672176
BSF_05	28067915	14311381	10372611	0	1073801	0	0	0	0	0	2310122	0	0	50.988400812814206
BSF_06	40846536	31320739	5482036	0	1017863	0	0	0	0	0	3025898	0	0	76.67905792549948
BSF_07	32602940	24679963	4505503	0	922359	0	0	0	0	0	2495115	0	0	75.69858117090054
BSF_08	37460013	28220454	5258095	0	1086794	0	0	0	0	0	2894670	0	0	75.33487508399958
PCF_01	44208943	33823213	5685631	0	1427441	0	0	0	0	0	3272658	0	0	76.50762652253414
PCF_02	36817168	29298061	4198695	0	840571	0	0	0	0	0	2479841	0	0	79.57717171510856
PCF_03	37422215	29812197	4303165	0	959660	0	0	0	0	0	2347193	0	0	79.66443728678273
PCF_04	40215556	31626467	4938583	0	1146186	0	0	0	0	0	2504320	0	0	78.6423716235578
PCF_05	46990275	34383871	7563122	0	1402401	0	0	0	0	0	3640881	0	0	73.17231278174047
PCF_06	38331175	27673537	6270525	0	1300339	0	0	0	0	0	3086774	0	0	72.19590059527265
PCF_07	41397129	29528724	7017978	0	1339849	0	0	0	0	0	3510578	0	0	71.33036689573328
