Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
BSF_01	Unknown Library	1153684.0	38194728.0	0.0	7439544.0	998748.0	9698475.0	69447.0	0.263024	62146446.0
BSF_03	Unknown Library	1727192.0	34578897.0	0.0	12195750.0	1588861.0	12580844.0	64039.0	0.37738	35207500.0
BSF_04	Unknown Library	1896541.0	27848968.0	0.0	12853131.0	1770914.0	10906708.0	49803.0	0.409489	25548420.0
BSF_05	Unknown Library	2579840.0	33197564.0	0.0	18165382.0	2460171.0	15502260.0	60209.0	0.485172	23335724.0
BSF_06	Unknown Library	1279886.0	50395947.0	0.0	9684186.0	1129607.0	15031447.0	78119.0	0.305594	66890967.0
BSF_07	Unknown Library	1043830.0	38347743.0	0.0	7967176.0	907960.0	10250306.0	59965.0	0.275389	58501715.0
BSF_08	Unknown Library	1314096.0	46251368.0	0.0	9202094.0	1164861.0	14049450.0	64320.0	0.311924	59937405.0
PCF_01	Unknown Library	1378565.0	48271789.0	0.0	9992697.0	1206845.0	9748477.0	16369.0	0.211431	102941011.0
PCF_02	Unknown Library	1089452.0	42298744.0	0.0	7307938.0	962346.0	9680271.0	10344.0	0.237176	77756631.0
PCF_03	Unknown Library	1171688.0	46246533.0	0.0	7434642.0	1053271.0	13127483.0	15023.0	0.291553	65225202.0
PCF_04	Unknown Library	1368585.0	52687654.0	0.0	8508581.0	1257314.0	17410681.0	13725.0	0.337993	60997628.0
PCF_05	Unknown Library	1902379.0	55134453.0	0.0	13223865.0	1753893.0	15707300.0	16488.0	0.295695	77399292.0
PCF_06	Unknown Library	1627999.0	43172745.0	0.0	10913051.0	1473921.0	11112095.0	13939.0	0.269378	68813222.0
PCF_07	Unknown Library	1753099.0	49665762.0	0.0	12282857.0	1619790.0	15286611.0	18094.0	0.318476	63144410.0
